fib,Python,R,Julia
1.0,2.384185791015625e-6,0.0,0.0
2.0,2.384185791015625e-6,0.0,0.0
3.0,2.86102294921875e-6,0.0,0.0
4.0,3.0994415283203125e-6,0.0,0.0
5.0,4.76837158203125e-6,0.0,0.0
6.0,6.9141387939453125e-6,0.000999999999976353,0.0
7.0,1.1205673217773438e-5,0.000999999999976353,0.0
8.0,1.7642974853515625e-5,0.00100000000009004,0.0
9.0,2.8848648071289062e-5,0.00199999999995271,0.0
10.0,4.6253204345703125e-5,0.0020000000000663896,0.0
11.0,7.271766662597656e-5,0.00499999999999545,0.0
12.0,0.00011801719665527344,0.0080000000000382,0.0
13.0,0.00019097328186035156,0.009999999999990909,0.0
14.0,0.0003082752227783203,0.01299999999992,0.0
15.0,0.0005013942718505859,0.0149999999999864,0.0
16.0,0.0008420944213867188,0.0260000000000673,0.0
17.0,0.001432180404663086,0.0459999999999354,0.0
18.0,0.003401041030883789,0.0740000000000691,0.0
19.0,0.0043261051177978516,0.109000000000037,0.0
20.0,0.01071619987487793,0.17199999999991197,0.0
21.0,0.012296676635742188,0.286000000000058,0.0
22.0,0.016397714614868164,0.47500000000002296,0.0
23.0,0.024019479751586914,0.7719999999999351,0.001
24.0,0.04048728942871094,1.34400000000005,0.0
25.0,0.06211495399475098,1.9809999999999899,0.001
26.0,0.10270428657531738,3.2540000000000204,0.001
27.0,0.16630935668945312,5.29899999999998,0.002
28.0,0.26970791816711426,8.462000000000101,0.003
29.0,0.43567752838134766,13.8289999999998,0.005
30.0,0.7076771259307861,22.4069999999999,0.009000000000000001
31.0,1.1353275775909424,,0.013999999999999999
32.0,1.8351001739501953,,0.022000000000000002
33.0,3.040442705154419,,0.035
34.0,4.835035085678101,,0.057999999999999996
35.0,7.750593900680542,,0.09300000000000001
36.0,0.7171492576599121,,0.153
37.0,0.7171492576599121,,0.249
38.0,0.7171492576599121,,0.415
39.0,0.7171492576599121,,0.647
40.0,0.7171492576599121,,1.045
41.0,0.7171492576599121,,
42.0,0.7171492576599121,,
43.0,0.7171492576599121,,
44.0,0.7171492576599121,,
45.0,0.7171492576599121,,
46.0,0.7171492576599121,,
47.0,0.7171492576599121,,
48.0,0.7171492576599121,,
49.0,0.7171492576599121,,
50.0,0.7171492576599121,,
51.0,0.7171492576599121,,
52.0,0.7171492576599121,,
53.0,0.7171492576599121,,
54.0,0.7171492576599121,,
55.0,0.7171492576599121,,
56.0,0.7171492576599121,,
57.0,0.7171492576599121,,
58.0,0.7171492576599121,,
59.0,0.7171492576599121,,
60.0,0.7171492576599121,,
61.0,0.7171492576599121,,
62.0,0.7171492576599121,,
63.0,0.7171492576599121,,
,,,
